datetime,symbol,open,high,low,close,volume
2024-01-23 01:50:00,BINANCE:ETHUSDT,2363.78,2377.0,2357.71,2374.67,4626.5142
2024-01-23 01:55:00,BINANCE:ETHUSDT,2374.66,2375.2,2366.66,2366.81,2674.4185
2024-01-23 02:00:00,BINANCE:ETHUSDT,2366.8,2377.5,2362.76,2374.25,2656.4284
2024-01-23 02:05:00,BINANCE:ETHUSDT,2374.24,2374.25,2365.8,2367.21,1427.5247
2024-01-23 02:10:00,BINANCE:ETHUSDT,2367.2,2368.54,2353.77,2353.97,2484.6995
2024-01-23 02:15:00,BINANCE:ETHUSDT,2353.98,2356.38,2337.0,2350.41,10672.6305
2024-01-23 02:20:00,BINANCE:ETHUSDT,2350.4,2354.0,2342.32,2350.18,3424.6888
2024-01-23 02:25:00,BINANCE:ETHUSDT,2350.18,2353.86,2339.0,2340.2,3247.2632
2024-01-23 02:30:00,BINANCE:ETHUSDT,2340.19,2342.17,2327.8,2329.66,5989.0
2024-01-23 02:35:00,BINANCE:ETHUSDT,2329.67,2332.73,2323.24,2325.2,4392.862
2024-01-23 02:40:00,BINANCE:ETHUSDT,2325.19,2325.64,2305.27,2315.91,11442.3388
2024-01-23 02:45:00,BINANCE:ETHUSDT,2315.9,2324.27,2315.9,2318.84,4050.5069
2024-01-23 02:50:00,BINANCE:ETHUSDT,2318.84,2326.17,2318.83,2324.73,3109.0064
2024-01-23 02:55:00,BINANCE:ETHUSDT,2324.74,2325.4,2319.45,2321.87,1821.2484
2024-01-23 03:00:00,BINANCE:ETHUSDT,2321.88,2332.54,2319.2,2327.94,2595.1772
2024-01-23 03:05:00,BINANCE:ETHUSDT,2327.95,2331.8,2322.35,2330.02,1789.1159
2024-01-23 03:10:00,BINANCE:ETHUSDT,2330.01,2337.19,2330.01,2332.96,3295.5125
2024-01-23 03:15:00,BINANCE:ETHUSDT,2332.96,2341.47,2332.96,2339.19,4252.7474
2024-01-23 03:20:00,BINANCE:ETHUSDT,2339.19,2343.99,2336.72,2343.0,2561.829
2024-01-23 03:25:00,BINANCE:ETHUSDT,2343.01,2351.53,2343.0,2348.01,4080.6657
2024-01-23 03:30:00,BINANCE:ETHUSDT,2348.0,2350.4,2344.12,2349.5,2691.5257
2024-01-23 03:35:00,BINANCE:ETHUSDT,2349.5,2350.2,2346.4,2346.4,1334.3983
2024-01-23 03:40:00,BINANCE:ETHUSDT,2346.41,2347.4,2342.72,2346.44,1438.7346
2024-01-23 03:45:00,BINANCE:ETHUSDT,2346.44,2349.8,2346.4,2347.87,500.2787
